estado,L,K,Y
1,162.31,279.99,657.29
2,214.43,542.5,935.93
3,186.44,721.51,1110.65
4,245.83,1167.68,1200.89
5,211.4,811.77,1052.68
6,690.61,4558.02,3406.02
7,452.79,3069.91,2427.89
8,714.2,5585.01,4257.46
9,320.54,1618.75,1625.19
10,253.17,1562.08,1272.05
11,236.44,662.04,1004.45
12,140.73,875.37,598.87
13,145.04,1696.98,853.1
14,240.27,1078.79,1165.63
15,536.73,2109.34,1917.55
16,1564.83,13989.55,9849.17
17,214.62,884.24,1088.27
18,1083.1,9119.7,8095.63
19,521.74,5686.99,3175.39
20,304.85,1701.06,1653.38
21,835.69,5206.36,5159.31
22,284,3288.72,3378.4
23,150.77,357.32,592.85
24,259.91,2031.93,1601.98
25,497.6,2492.98,2065.85
26,275.2,1711.74,2293.87
27,137,768.59,745.67
