quarto,area,dist,idade,aluguel
1,12,0.6,36,772
2,19,4.8,3,765
3,12,3.3,5,531
4,8,4.8,17,287
5,9,4,25,462
6,10,4,3,455
7,16,3.7,5,627
8,9,0.8,29,587
9,9,1.2,38,670
10,11,0.4,28,839
11,13,2.9,9,486
12,11,3.3,33,477
13,17,2.1,39,725
14,14,2.7,14,672
15,16,1.7,23,840
16,13,5,34,590
17,19,4.2,33,683
18,9,2.5,29,438
19,13,3,7,674
20,13,3.6,22,706
21,9,4.1,13,305
22,15,1.8,21,878
23,9,3.6,2,678
24,9,4.2,24,312
25,16,1.7,30,830
26,12,0.5,9,912
27,20,1.9,23,941
28,17,3.7,25,630
29,9,4.1,35,312
30,13,0.7,11,742
